# step, loss_train, loss_test, metrics_test
5.400000000000000000e+04 2.307665563421323895e-04 2.418578515062108636e-04 7.031603902578353882e-02
5.500000000000000000e+04 1.293005188927054405e-04 1.370467653032392263e-04 7.155195623636245728e-02
5.600000000000000000e+04 1.578213879838585854e-03 1.622677431441843510e-03 7.157035917043685913e-02
5.700000000000000000e+04 1.480140374042093754e-03 1.513623399659991264e-03 7.267586141824722290e-02
5.800000000000000000e+04 5.191305172047577798e-05 5.919670729781500995e-05 7.600268721580505371e-02
5.900000000000000000e+04 5.498092650668695569e-05 6.268821016419678926e-05 7.771266996860504150e-02
6.000000000000000000e+04 1.284419558942317963e-04 1.371455291518941522e-04 7.489435374736785889e-02
6.100000000000000000e+04 2.401984820608049631e-04 2.519326808396726847e-04 8.291064947843551636e-02
6.200000000000000000e+04 2.787666198855731636e-05 3.485731940600089729e-05 7.928275316953659058e-02
6.300000000000000000e+04 4.672576687880791724e-05 5.411731035565026104e-05 8.194525539875030518e-02
6.400000000000000000e+04 1.868383114924654365e-04 1.966612762771546841e-04 8.292590081691741943e-02
6.500000000000000000e+04 6.810994818806648254e-05 7.486862887162715197e-05 8.497792482376098633e-02
6.600000000000000000e+04 2.437719376757740974e-05 3.019577525265049189e-05 8.840439468622207642e-02
6.700000000000000000e+04 1.966416602954268456e-04 2.037489903159439564e-04 8.812918514013290405e-02
6.800000000000000000e+04 5.590805085375905037e-05 6.324153946479782462e-05 8.716646581888198853e-02
6.900000000000000000e+04 2.970762143377214670e-04 3.072748077102005482e-04 9.437870234251022339e-02
7.000000000000000000e+04 2.873416633519809693e-05 3.402779111638665199e-05 9.441228210926055908e-02
7.100000000000000000e+04 3.658132627606391907e-03 3.688254859298467636e-03 1.172134876251220703e-01
7.200000000000000000e+04 2.199523616582155228e-03 2.261541318148374557e-03 9.889852255582809448e-02
7.300000000000000000e+04 2.963704988360404968e-03 2.979869022965431213e-03 9.504959732294082642e-02
7.400000000000000000e+04 7.262842846103012562e-04 7.466015522368252277e-04 1.006490290164947510e-01
7.500000000000000000e+04 9.932740795193240047e-05 1.065317264874465764e-04 1.037941351532936096e-01
7.600000000000000000e+04 1.211294002132490277e-04 1.279801945202052593e-04 9.941522777080535889e-02
7.700000000000000000e+04 6.823503645136952400e-05 7.559684308944270015e-05 1.033084467053413391e-01
7.800000000000000000e+04 5.340743227861821651e-04 5.500962142832577229e-04 1.063871756196022034e-01
7.900000000000000000e+04 2.640390885062515736e-04 2.681943005882203579e-04 1.026011481881141663e-01
8.000000000000000000e+04 2.374066534684970975e-04 2.449809690006077290e-04 1.030889227986335754e-01
